material_id,formula,bl_mean,bl_min,bl_max,bl_std,coord_num,bandwidth_W,uw_ratio,distortion,frac_octahedral,n_tm_sites,total_magnetization,num_magnetic_sites,is_magnetic,formation_energy_per_atom,energy_above_hull,nsites,volume_per_atom,density,nelements,band_gap,efermi,is_mott,is_mott_uw
mp-cptel,Na2FeSO4F3,1.9788803030578928,1.932912887039417,2.009464665665222,0.0322609668048233,6.0,3.06685404671632,1.7281552759626893,0.0151118387584242,1.0,4,1.699999999999999e-06,4,1,-2.384645357068964,0.004917566931821,44,13.070643049094397,2.943738428425865,5,2.052699999999999,-0.18619166,0,1
mp-cpwej,FeBi2Se2Cl3O7,2.044241373037226,2.0096548120184976,2.0748798705418334,0.0267739608447803,6.0,2.873037418363356,1.844737547142417,0.0112793467786833,1.0,2,10.0104481,2,1,-1.4796260903125,0.0,30,17.649861403640738,5.331834298965432,5,1.3914,2.20100669,0,1
mp-cqbjy,FeGe3H4PbO10,2.1696458214480208,2.096870898724128,2.2547753726167525,0.0650534823655809,6.0,2.556011984977169,1.6823082306628576,0.026157741301116,1.0,2,8.0000237,2,1,-1.7488598813157892,0.011180393815788,38,11.051074321851605,5.100872755293272,5,2.915999999999999,5.00096943,0,1
mp-cqboa,Ca2Al2FeSi3O13,2.0864957554557453,1.916685259351256,2.3097005489165454,0.1633752743943618,6.0,2.8052047587279345,1.8893451479824848,0.0713172769469777,1.0,2,9.7505433,2,1,-3.076116905476191,0.070068074444447,42,11.419509941774711,3.339035600506019,5,0.0,3.17309647,0,1
mp-cqlup,FeCuH4S2O13,2.021608900994629,1.7573273215888316,2.5171721901160056,0.1591305928514197,6.0,3.020880955416498,1.8136983165177911,0.0723151815722322,1.0,4,17.976414899999998,18,1,-1.180788276428571,0.200118096008183,42,12.399844427249516,2.522373653385105,5,0.0,-1.07116538,0,1
mp-cqxfo,LiFeWClO4,2.045127837023798,1.7878332699032358,2.5918899957346917,0.1221072646078395,5.0,2.406385400482489,1.7975374650086668,0.0920677090611802,0.5,4,4.599999999999997e-06,2,1,-2.014328414166666,0.037888413437499,16,16.268275259855173,4.415601109803952,5,3.167599999999999,-0.26906131,0,1
mp-crxal,Ca2Al2FeSi3O13,2.041778202640632,1.8043947595919645,2.309173457783041,0.2071648541391317,6.0,2.9670459324291496,1.7862884905394227,0.0873079667506117,1.0,2,7.9998733,2,1,-2.808100159761905,0.338084820158732,42,12.52144845165513,3.045186855429493,5,0.0,3.38659105,0,1
mp-crxmz,Ba2FeCoClF7,2.1458680192507784,2.036187703246498,2.5842626214727185,0.1870881945518955,6.0,2.6565120433187523,1.4380896965890553,0.0646989558490377,1.0,4,14.0000003,4,1,-3.171922779583333,0.002232457083335,24,16.882789522851784,4.572563866888888,5,2.111799999999999,0.76199195,0,1
mp-dlwqb,Li2FeCSO7,2.1525439842333087,2.088858553993771,2.248393943062997,0.0569043112587055,6.0,2.5952323029337787,1.6568844724806888,0.0234638918380122,1.0,4,1.15e-05,4,1,-2.027604755555555,0.066194880833337,48,12.178352201356846,2.5656675073270963,5,4.353099999999999,0.5925713300000001,0,1
mp-bgtj,Na3FePCO7,2.1828400640709993,2.117055716931677,2.337727273184687,0.086128837212934,6.0,2.529757827739856,1.6997674452663794,0.035752394750094,1.0,2,7.9996693,2,1,-2.2757982845215983,0.0,26,12.1833136789319,2.933456150864468,5,1.8038,1.94457905,0,1
mp-blqr,Li3FePCO7,2.165951261064067,2.0400666580711833,2.3036065240490213,0.0974505523112587,6.0,2.573682962142825,1.670757456629345,0.0387439660802855,1.0,4,1.3900000000000002e-05,4,1,-2.342564675934066,0.039936917884612,52,10.634411448211438,2.782411323077512,5,4.3732,1.69996705,0,1
